ID;concept:name;time:timestamp;case:concept:name;pName;error_case;error_reason
14400;review application;2021-11-03 05:57:41 +00:00;Trace 2101;Peter;x;1
14401;delete data of applicant;2021-11-03 07:43:47 +00:00;Trace 2101;Peter;x;1, 4
14402;await answer;2021-11-03 09:19:41 +00:00;Trace 2101;Peter;x;1, 5
14403;"applicant rejected/
delete data";2021-11-03 10:45:58 +00:00;Trace 2101;Peter;x;1, 5
14404;"reject application/
ask for permission to save data";2021-11-03 12:42:49 +00:00;Trace 2101;Peter;x;1
14405;await answer;2021-11-03 14:28:13 +00:00;Trace 2101;Peter;x;1, 5
14406;decline permission;2021-11-03 15:56:05 +00:00;Trace 2101;Peter;x;1
14407;save data;2021-11-03 17:06:15 +00:00;Trace 2101;Peter;x;1, 3
14408;receive application;2021-11-03 00:07:16 +00:00;Trace 2102;Peter;x;1
14409;confirm GDPR;2021-11-03 01:07:24 +00:00;Trace 2102;Peter;x;1
14410;decline GDPR;2021-11-03 02:27:50 +00:00;Trace 2102;Peter;x;1
14411;notify recruiter;2021-11-03 03:41:49 +00:00;Trace 2102;Peter;x;1, 3
14412;review application;2021-11-03 04:57:39 +00:00;Trace 2102;Peter;x;1
14413;schedule interview and send invitation;2021-11-03 06:09:05 +00:00;Trace 2102;Peter;x;1
14414;receive application;2021-11-03 00:11:01 +00:00;Trace 2103;Hans;x;1
14415;confirm GDPR;2021-11-03 01:29:05 +00:00;Trace 2103;Hans;x;1
14416;confirmed GDPR;2021-11-03 03:26:59 +00:00;Trace 2103;Hans;x;1
14417;receive application;2021-11-03 00:24:15 +00:00;Trace 2104;Hans;x;1
14418;confirm GDPR;2021-11-03 01:44:56 +00:00;Trace 2104;Hans;x;1
14419;decline GDPR;2021-11-03 02:54:34 +00:00;Trace 2104;Hans;x;1
14420;notify recruiter;2021-11-03 04:29:26 +00:00;Trace 2104;Hans;x;1, 3
14421;review application;2021-11-03 06:29:01 +00:00;Trace 2104;Hans;x;1
14422;schedule interview and send invitation;2021-11-03 07:48:07 +00:00;Trace 2104;Hans;x;1
14423;receive application;2021-11-03 00:13:17 +00:00;Trace 2105;Hans;x;1
14424;confirm GDPR;2021-11-03 01:31:51 +00:00;Trace 2105;Hans;x;1
14425;confirmed GDPR;2021-11-03 02:33:22 +00:00;Trace 2105;Hans;x;1
14426;receive application;2021-11-02 23:44:33 +00:00;Trace 2106;Hans;x;1
14427;confirm GDPR;2021-11-03 00:55:56 +00:00;Trace 2106;Hans;x;1
14428;confirmed GDPR;2021-11-03 02:41:30 +00:00;Trace 2106;Hans;x;1
14429;receive application;2021-11-03 00:12:10 +00:00;Trace 2107;Julian;x;1
14430;confirm GDPR;2021-11-03 01:17:42 +00:00;Trace 2107;Julian;x;1
14431;decline GDPR;2021-11-03 02:31:24 +00:00;Trace 2107;Julian;x;1
14432;notify recruiter;2021-11-03 04:15:47 +00:00;Trace 2107;Julian;x;1, 3
14433;review application;2021-11-03 05:21:35 +00:00;Trace 2107;Julian;x;1
14434;schedule interview and send invitation;2021-11-03 07:08:35 +00:00;Trace 2107;Julian;x;1
14435;receive application;2021-11-03 00:08:33 +00:00;Trace 2108;Peter;x;1
14436;confirm GDPR;2021-11-03 01:27:06 +00:00;Trace 2108;Peter;x;1
14437;decline GDPR;2021-11-03 03:25:56 +00:00;Trace 2108;Peter;x;1
14438;notify recruiter;2021-11-03 04:53:25 +00:00;Trace 2108;Peter;x;1, 3
14439;review application;2021-11-03 06:16:51 +00:00;Trace 2108;Peter;x;1
14440;schedule interview and send invitation;2021-11-03 07:59:18 +00:00;Trace 2108;Peter;x;1
14441;receive application;2021-11-02 23:58:47 +00:00;Trace 2109;Peter;x;1
14442;confirm GDPR;2021-11-03 01:08:59 +00:00;Trace 2109;Peter;x;1
14443;decline GDPR;2021-11-03 02:41:38 +00:00;Trace 2109;Peter;x;1
14444;notify recruiter;2021-11-03 04:01:28 +00:00;Trace 2109;Peter;x;1, 3
14445;review application;2021-11-03 05:58:39 +00:00;Trace 2109;Peter;x;1
14446;delete data of applicant;2021-11-03 07:23:46 +00:00;Trace 2109;Peter;x;1, 4
14447;await answer;2021-11-03 08:37:54 +00:00;Trace 2109;Peter;x;1, 5
14448;"applicant rejected/
delete data";2021-11-03 10:07:08 +00:00;Trace 2109;Peter;x;1, 5
14449;send to assessment center;2021-11-03 11:11:11 +00:00;Trace 2109;Peter;x;1
14450;create and send offer;2021-11-03 12:33:31 +00:00;Trace 2109;Peter;x;1
14451;receive application;2021-11-03 00:31:17 +00:00;Trace 2110;Julian;x;1
14452;confirm GDPR;2021-11-03 02:24:37 +00:00;Trace 2110;Julian;x;1
14453;decline GDPR;2021-11-03 04:20:15 +00:00;Trace 2110;Julian;x;1
14454;notify recruiter;2021-11-03 05:53:55 +00:00;Trace 2110;Julian;x;1, 3
14455;review application;2021-11-03 07:04:57 +00:00;Trace 2110;Julian;x;1
14456;schedule interview and send invitation;2021-11-03 08:26:04 +00:00;Trace 2110;Julian;x;1
14457;receive application;2021-11-02 23:51:58 +00:00;Trace 2111;Peter;x;1
14458;confirm GDPR;2021-11-03 01:35:37 +00:00;Trace 2111;Peter;x;1
14459;confirmed GDPR;2021-11-03 02:43:17 +00:00;Trace 2111;Peter;x;1
14460;receive application;2021-11-03 00:18:31 +00:00;Trace 2112;Peter;x;1
14461;confirm GDPR;2021-11-03 01:29:32 +00:00;Trace 2112;Peter;x;1
14462;decline GDPR;2021-11-03 02:50:39 +00:00;Trace 2112;Peter;x;1
14463;notify recruiter;2021-11-03 04:45:32 +00:00;Trace 2112;Peter;x;1, 3
14464;review application;2021-11-03 06:25:39 +00:00;Trace 2112;Peter;x;1
14465;delete data of applicant;2021-11-03 07:37:28 +00:00;Trace 2112;Peter;x;1, 4
14466;await answer;2021-11-03 08:43:59 +00:00;Trace 2112;Peter;x;1, 5
14467;"applicant rejected/
delete data";2021-11-03 10:10:18 +00:00;Trace 2112;Peter;x;1, 5
14468;send to assessment center;2021-11-03 12:07:29 +00:00;Trace 2112;Peter;x;1
14469;create and send offer;2021-11-03 13:08:33 +00:00;Trace 2112;Peter;x;1
14470;receive application;2021-11-02 23:41:45 +00:00;Trace 2113;Hans;x;1
14471;confirm GDPR;2021-11-03 01:32:38 +00:00;Trace 2113;Hans;x;1
14472;decline GDPR;2021-11-03 03:18:14 +00:00;Trace 2113;Hans;x;1
14473;notify recruiter;2021-11-03 05:08:07 +00:00;Trace 2113;Hans;x;1, 3
14474;review application;2021-11-03 06:16:56 +00:00;Trace 2113;Hans;x;1
14475;delete data of applicant;2021-11-03 07:28:27 +00:00;Trace 2113;Hans;x;1, 4
14476;await answer;2021-11-03 08:54:17 +00:00;Trace 2113;Hans;x;1, 5
14477;"applicant rejected/
delete data";2021-11-03 10:15:17 +00:00;Trace 2113;Hans;x;1, 5
14478;"reject application/
ask for permission to save data";2021-11-03 11:37:34 +00:00;Trace 2113;Hans;x;1
14479;await answer;2021-11-03 13:09:31 +00:00;Trace 2113;Hans;x;1, 5
14480;decline permission;2021-11-03 14:43:11 +00:00;Trace 2113;Hans;x;1
14481;save data;2021-11-03 15:48:18 +00:00;Trace 2113;Hans;x;1, 3
14482;receive application;2021-11-03 00:31:02 +00:00;Trace 2114;Hans;x;1
14483;confirm GDPR;2021-11-03 01:33:12 +00:00;Trace 2114;Hans;x;1
14484;decline GDPR;2021-11-03 03:27:19 +00:00;Trace 2114;Hans;x;1
14485;notify recruiter;2021-11-03 04:52:35 +00:00;Trace 2114;Hans;x;1, 3
14486;review application;2021-11-03 06:47:06 +00:00;Trace 2114;Hans;x;1
14487;delete data of applicant;2021-11-03 08:29:57 +00:00;Trace 2114;Hans;x;1, 4
14488;await answer;2021-11-03 10:08:15 +00:00;Trace 2114;Hans;x;1, 5
14489;hold interview;2021-11-03 12:02:57 +00:00;Trace 2114;Hans;x;1, 5
14490;receive application;2021-11-03 00:25:31 +00:00;Trace 2115;Julian;x;1
14491;confirm GDPR;2021-11-03 01:59:13 +00:00;Trace 2115;Julian;x;1
14492;confirmed GDPR;2021-11-03 02:59:29 +00:00;Trace 2115;Julian;x;1
14493;receive application;2021-11-02 23:59:46 +00:00;Trace 2116;Julian;x;1
14494;confirm GDPR;2021-11-03 01:14:35 +00:00;Trace 2116;Julian;x;1
14495;confirmed GDPR;2021-11-03 03:02:01 +00:00;Trace 2116;Julian;x;1
14496;receive application;2021-11-02 23:42:35 +00:00;Trace 2117;Julian;x;1
14497;confirm GDPR;2021-11-03 01:38:09 +00:00;Trace 2117;Julian;x;1
14498;decline GDPR;2021-11-03 03:22:52 +00:00;Trace 2117;Julian;x;1
14499;notify recruiter;2021-11-03 05:03:39 +00:00;Trace 2117;Julian;x;1, 3
14500;review application;2021-11-03 06:51:10 +00:00;Trace 2117;Julian;x;1
14501;delete data of applicant;2021-11-03 08:03:31 +00:00;Trace 2117;Julian;x;1, 4
14502;await answer;2021-11-03 09:28:38 +00:00;Trace 2117;Julian;x;1, 5
14503;"applicant rejected/
delete data";2021-11-03 11:14:04 +00:00;Trace 2117;Julian;x;1, 5
14504;send to assessment center;2021-11-03 12:18:04 +00:00;Trace 2117;Julian;x;1
14505;create and send offer;2021-11-03 14:12:33 +00:00;Trace 2117;Julian;x;1
14506;receive application;2021-11-02 23:51:30 +00:00;Trace 2118;Peter;x;1
14507;confirm GDPR;2021-11-03 01:09:45 +00:00;Trace 2118;Peter;x;1
14508;decline GDPR;2021-11-03 02:30:09 +00:00;Trace 2118;Peter;x;1
14509;notify recruiter;2021-11-03 03:43:21 +00:00;Trace 2118;Peter;x;1, 3
14510;review application;2021-11-03 04:47:58 +00:00;Trace 2118;Peter;x;1
14511;schedule interview and send invitation;2021-11-03 05:58:48 +00:00;Trace 2118;Peter;x;1
14512;receive application;2021-11-03 00:12:01 +00:00;Trace 2119;Julian;x;1
14513;confirm GDPR;2021-11-03 02:07:00 +00:00;Trace 2119;Julian;x;1
14514;decline GDPR;2021-11-03 03:16:04 +00:00;Trace 2119;Julian;x;1
14515;notify recruiter;2021-11-03 04:21:57 +00:00;Trace 2119;Julian;x;1, 3
14516;review application;2021-11-03 06:16:57 +00:00;Trace 2119;Julian;x;1
14517;schedule interview and send invitation;2021-11-03 08:03:28 +00:00;Trace 2119;Julian;x;1
14518;receive application;2021-11-03 00:01:41 +00:00;Trace 2120;Hans;x;1
14519;confirm GDPR;2021-11-03 01:33:36 +00:00;Trace 2120;Hans;x;1
14520;confirmed GDPR;2021-11-03 02:42:58 +00:00;Trace 2120;Hans;x;1
14521;receive application;2021-11-03 00:13:05 +00:00;Trace 2121;Peter;x;1
14522;confirm GDPR;2021-11-03 01:58:01 +00:00;Trace 2121;Peter;x;1
14523;confirmed GDPR;2021-11-03 03:27:21 +00:00;Trace 2121;Peter;x;1
14524;receive application;2021-11-03 00:37:20 +00:00;Trace 2122;Hans;x;1
14525;confirm GDPR;2021-11-03 02:30:18 +00:00;Trace 2122;Hans;x;1
14526;decline GDPR;2021-11-03 04:23:56 +00:00;Trace 2122;Hans;x;1
14527;notify recruiter;2021-11-03 05:47:44 +00:00;Trace 2122;Hans;x;1, 3
14528;review application;2021-11-03 07:24:48 +00:00;Trace 2122;Hans;x;1
14529;delete data of applicant;2021-11-03 09:12:43 +00:00;Trace 2122;Hans;x;1, 4
14530;await answer;2021-11-03 10:35:24 +00:00;Trace 2122;Hans;x;1, 5
14531;hold interview;2021-11-03 12:06:20 +00:00;Trace 2122;Hans;x;1, 5
14532;receive application;2021-11-02 23:41:08 +00:00;Trace 2123;Peter;x;1
14533;confirm GDPR;2021-11-03 01:39:15 +00:00;Trace 2123;Peter;x;1
14534;decline GDPR;2021-11-03 03:06:25 +00:00;Trace 2123;Peter;x;1
14535;notify recruiter;2021-11-03 04:17:57 +00:00;Trace 2123;Peter;x;1, 3
14536;review application;2021-11-03 05:55:24 +00:00;Trace 2123;Peter;x;1
14537;delete data of applicant;2021-11-03 07:36:48 +00:00;Trace 2123;Peter;x;1, 4
14538;await answer;2021-11-03 09:08:30 +00:00;Trace 2123;Peter;x;1, 5
14539;"applicant rejected/
delete data";2021-11-03 10:14:11 +00:00;Trace 2123;Peter;x;1, 5
14540;send to assessment center;2021-11-03 11:45:21 +00:00;Trace 2123;Peter;x;1
14541;decline applicant in assesment center;2021-11-03 13:25:26 +00:00;Trace 2123;Peter;x;1
14542;wait for answer to offer;2021-11-03 14:31:47 +00:00;Trace 2123;Peter;x;1
14543;hire candidate;2021-11-03 15:38:56 +00:00;Trace 2123;Peter;x;1, 5
14544;begin onboarding process;2021-11-03 17:04:50 +00:00;Trace 2123;Peter;x;1
14545;receive application;2021-11-03 00:39:15 +00:00;Trace 2124;Julian;x;1
14546;confirm GDPR;2021-11-03 02:34:04 +00:00;Trace 2124;Julian;x;1
14547;confirmed GDPR;2021-11-03 04:20:48 +00:00;Trace 2124;Julian;x;1
14548;receive application;2021-11-02 23:46:38 +00:00;Trace 2125;Hans;x;1
14549;confirm GDPR;2021-11-03 01:43:13 +00:00;Trace 2125;Hans;x;1
14550;confirmed GDPR;2021-11-03 03:40:13 +00:00;Trace 2125;Hans;x;1
14551;receive application;2021-11-02 23:45:17 +00:00;Trace 2126;Julian;x;1
14552;confirm GDPR;2021-11-03 01:21:15 +00:00;Trace 2126;Julian;x;1
14553;decline GDPR;2021-11-03 02:35:48 +00:00;Trace 2126;Julian;x;1
14554;notify recruiter;2021-11-03 03:50:32 +00:00;Trace 2126;Julian;x;1, 3
14555;review application;2021-11-03 05:25:04 +00:00;Trace 2126;Julian;x;1
14556;delete data of applicant;2021-11-03 06:51:39 +00:00;Trace 2126;Julian;x;1, 4
14557;await answer;2021-11-03 08:28:17 +00:00;Trace 2126;Julian;x;1, 5
14558;hold interview;2021-11-03 10:07:48 +00:00;Trace 2126;Julian;x;1, 5
14559;receive application;2021-11-02 23:41:57 +00:00;Trace 2127;Hans;x;1
14560;confirm GDPR;2021-11-03 00:58:37 +00:00;Trace 2127;Hans;x;1
14561;decline GDPR;2021-11-03 02:06:13 +00:00;Trace 2127;Hans;x;1
14562;notify recruiter;2021-11-03 03:56:30 +00:00;Trace 2127;Hans;x;1, 3
14563;review application;2021-11-03 05:39:34 +00:00;Trace 2127;Hans;x;1
14564;delete data of applicant;2021-11-03 06:48:16 +00:00;Trace 2127;Hans;x;1, 4
14565;await answer;2021-11-03 08:46:53 +00:00;Trace 2127;Hans;x;1, 5
14566;"applicant rejected/
delete data";2021-11-03 10:01:14 +00:00;Trace 2127;Hans;x;1, 5
14567;"reject application/
ask for permission to save data";2021-11-03 11:21:14 +00:00;Trace 2127;Hans;x;1
14568;await answer;2021-11-03 12:40:25 +00:00;Trace 2127;Hans;x;1, 5
14569;decline permission;2021-11-03 13:57:29 +00:00;Trace 2127;Hans;x;1
14570;save data;2021-11-03 15:17:00 +00:00;Trace 2127;Hans;x;1, 3
14571;receive application;2021-11-02 23:43:25 +00:00;Trace 2128;Peter;x;1
14572;confirm GDPR;2021-11-03 01:41:28 +00:00;Trace 2128;Peter;x;1
14573;decline GDPR;2021-11-03 03:20:15 +00:00;Trace 2128;Peter;x;1
14574;notify recruiter;2021-11-03 04:32:48 +00:00;Trace 2128;Peter;x;1, 3
14575;review application;2021-11-03 06:30:38 +00:00;Trace 2128;Peter;x;1
14576;schedule interview and send invitation;2021-11-03 08:07:28 +00:00;Trace 2128;Peter;x;1
14577;receive application;2021-11-03 00:06:30 +00:00;Trace 2129;Peter;x;1
14578;confirm GDPR;2021-11-03 01:43:42 +00:00;Trace 2129;Peter;x;1
14579;decline GDPR;2021-11-03 02:55:35 +00:00;Trace 2129;Peter;x;1
14580;notify recruiter;2021-11-03 03:59:00 +00:00;Trace 2129;Peter;x;1, 3
14581;review application;2021-11-03 05:34:31 +00:00;Trace 2129;Peter;x;1
14582;delete data of applicant;2021-11-03 07:16:48 +00:00;Trace 2129;Peter;x;1, 4
14583;await answer;2021-11-03 09:09:47 +00:00;Trace 2129;Peter;x;1, 5
14584;"applicant rejected/
delete data";2021-11-03 10:27:49 +00:00;Trace 2129;Peter;x;1, 5
14585;send to assessment center;2021-11-03 11:44:14 +00:00;Trace 2129;Peter;x;1
14586;decline applicant in assesment center;2021-11-03 13:34:07 +00:00;Trace 2129;Peter;x;1
14587;wait for answer to offer;2021-11-03 15:18:34 +00:00;Trace 2129;Peter;x;1
14588;hire candidate;2021-11-03 17:14:38 +00:00;Trace 2129;Peter;x;1, 5
14589;begin onboarding process;2021-11-03 18:46:22 +00:00;Trace 2129;Peter;x;1
14590;receive application;2021-11-03 00:33:06 +00:00;Trace 2130;Julian;x;1
14591;confirm GDPR;2021-11-03 02:32:58 +00:00;Trace 2130;Julian;x;1
14592;confirmed GDPR;2021-11-03 03:53:42 +00:00;Trace 2130;Julian;x;1
14593;receive application;2021-11-03 00:06:33 +00:00;Trace 2131;Hans;x;1
14594;confirm GDPR;2021-11-03 02:04:10 +00:00;Trace 2131;Hans;x;1
14595;confirmed GDPR;2021-11-03 03:27:10 +00:00;Trace 2131;Hans;x;1
14596;receive application;2021-11-03 00:15:06 +00:00;Trace 2132;Julian;x;1
14597;confirm GDPR;2021-11-03 01:44:09 +00:00;Trace 2132;Julian;x;1
14598;confirmed GDPR;2021-11-03 03:38:13 +00:00;Trace 2132;Julian;x;1
14599;receive application;2021-11-03 00:39:04 +00:00;Trace 2133;Hans;x;1
14600;confirm GDPR;2021-11-03 02:36:29 +00:00;Trace 2133;Hans;x;1
14601;confirmed GDPR;2021-11-03 04:00:21 +00:00;Trace 2133;Hans;x;1
14602;receive application;2021-11-02 23:58:53 +00:00;Trace 2134;Peter;x;1
14603;confirm GDPR;2021-11-03 01:30:39 +00:00;Trace 2134;Peter;x;1
14604;decline GDPR;2021-11-03 03:27:12 +00:00;Trace 2134;Peter;x;1
14605;notify recruiter;2021-11-03 04:41:52 +00:00;Trace 2134;Peter;x;1, 3
14606;review application;2021-11-03 06:26:08 +00:00;Trace 2134;Peter;x;1
14607;schedule interview and send invitation;2021-11-03 07:36:25 +00:00;Trace 2134;Peter;x;1
14608;receive application;2021-11-02 23:47:43 +00:00;Trace 2135;Julian;x;1
14609;confirm GDPR;2021-11-03 00:50:09 +00:00;Trace 2135;Julian;x;1
14610;decline GDPR;2021-11-03 02:44:12 +00:00;Trace 2135;Julian;x;1
14611;notify recruiter;2021-11-03 04:33:04 +00:00;Trace 2135;Julian;x;1, 3
14612;review application;2021-11-03 06:29:44 +00:00;Trace 2135;Julian;x;1
14613;delete data of applicant;2021-11-03 07:49:09 +00:00;Trace 2135;Julian;x;1, 4
14614;await answer;2021-11-03 08:51:23 +00:00;Trace 2135;Julian;x;1, 5
14615;hold interview;2021-11-03 10:09:57 +00:00;Trace 2135;Julian;x;1, 5
14616;receive application;2021-11-03 00:27:39 +00:00;Trace 2136;Peter;x;1
14617;confirm GDPR;2021-11-03 02:18:46 +00:00;Trace 2136;Peter;x;1
14618;confirmed GDPR;2021-11-03 03:23:24 +00:00;Trace 2136;Peter;x;1
14619;receive application;2021-11-03 00:21:57 +00:00;Trace 2137;Peter;x;1
14620;confirm GDPR;2021-11-03 02:11:54 +00:00;Trace 2137;Peter;x;1
14621;decline GDPR;2021-11-03 03:22:21 +00:00;Trace 2137;Peter;x;1
14622;notify recruiter;2021-11-03 04:29:05 +00:00;Trace 2137;Peter;x;1, 3
14623;review application;2021-11-03 05:31:24 +00:00;Trace 2137;Peter;x;1
14624;schedule interview and send invitation;2021-11-03 07:19:43 +00:00;Trace 2137;Peter;x;1
14625;receive application;2021-11-03 00:06:29 +00:00;Trace 2138;Julian;x;1
14626;confirm GDPR;2021-11-03 01:33:21 +00:00;Trace 2138;Julian;x;1
14627;decline GDPR;2021-11-03 03:30:23 +00:00;Trace 2138;Julian;x;1
14628;notify recruiter;2021-11-03 04:56:49 +00:00;Trace 2138;Julian;x;1, 3
14629;review application;2021-11-03 06:49:25 +00:00;Trace 2138;Julian;x;1
14630;delete data of applicant;2021-11-03 08:28:01 +00:00;Trace 2138;Julian;x;1, 4
14631;await answer;2021-11-03 10:04:20 +00:00;Trace 2138;Julian;x;1, 5
14632;"applicant rejected/
delete data";2021-11-03 11:44:16 +00:00;Trace 2138;Julian;x;1, 5
14633;"reject application/
ask for permission to save data";2021-11-03 13:43:52 +00:00;Trace 2138;Julian;x;1
14634;await answer;2021-11-03 15:34:33 +00:00;Trace 2138;Julian;x;1, 5
14635;receive permission;2021-11-03 16:56:46 +00:00;Trace 2138;Julian;x;1
14636;delete data;2021-11-03 18:52:07 +00:00;Trace 2138;Julian;x;1
14637;receive application;2021-11-03 00:03:59 +00:00;Trace 2139;Julian;x;1
14638;confirm GDPR;2021-11-03 01:13:16 +00:00;Trace 2139;Julian;x;1
14639;confirmed GDPR;2021-11-03 02:31:25 +00:00;Trace 2139;Julian;x;1
14640;receive application;2021-11-02 23:42:00 +00:00;Trace 2140;Hans;x;1
14641;confirm GDPR;2021-11-03 01:38:03 +00:00;Trace 2140;Hans;x;1
14642;decline GDPR;2021-11-03 03:13:46 +00:00;Trace 2140;Hans;x;1
14643;notify recruiter;2021-11-03 04:41:23 +00:00;Trace 2140;Hans;x;1, 3
14644;review application;2021-11-03 06:34:19 +00:00;Trace 2140;Hans;x;1
14645;schedule interview and send invitation;2021-11-03 08:25:21 +00:00;Trace 2140;Hans;x;1
14646;receive application;2021-11-02 23:44:15 +00:00;Trace 2141;Hans;x;1
14647;confirm GDPR;2021-11-03 01:39:23 +00:00;Trace 2141;Hans;x;1
14648;decline GDPR;2021-11-03 03:03:31 +00:00;Trace 2141;Hans;x;1
14649;notify recruiter;2021-11-03 04:58:05 +00:00;Trace 2141;Hans;x;1, 3
14650;review application;2021-11-03 06:44:02 +00:00;Trace 2141;Hans;x;1
14651;schedule interview and send invitation;2021-11-03 08:43:51 +00:00;Trace 2141;Hans;x;1
14652;receive application;2021-11-03 00:07:48 +00:00;Trace 2142;Peter;x;1
14653;confirm GDPR;2021-11-03 01:28:00 +00:00;Trace 2142;Peter;x;1
14654;decline GDPR;2021-11-03 03:27:28 +00:00;Trace 2142;Peter;x;1
14655;notify recruiter;2021-11-03 04:53:38 +00:00;Trace 2142;Peter;x;1, 3
14656;review application;2021-11-03 06:18:23 +00:00;Trace 2142;Peter;x;1
14657;schedule interview and send invitation;2021-11-03 07:36:24 +00:00;Trace 2142;Peter;x;1
14658;receive application;2021-11-03 00:26:21 +00:00;Trace 2143;Julian;x;1
14659;confirm GDPR;2021-11-03 02:05:17 +00:00;Trace 2143;Julian;x;1
14660;decline GDPR;2021-11-03 03:47:21 +00:00;Trace 2143;Julian;x;1
14661;notify recruiter;2021-11-03 04:53:53 +00:00;Trace 2143;Julian;x;1, 3
14662;review application;2021-11-03 06:41:13 +00:00;Trace 2143;Julian;x;1
14663;schedule interview and send invitation;2021-11-03 08:30:01 +00:00;Trace 2143;Julian;x;1
14664;receive application;2021-11-03 00:21:33 +00:00;Trace 2144;Julian;x;1
14665;confirm GDPR;2021-11-03 02:01:45 +00:00;Trace 2144;Julian;x;1
14666;decline GDPR;2021-11-03 03:08:20 +00:00;Trace 2144;Julian;x;1
14667;notify recruiter;2021-11-03 04:25:45 +00:00;Trace 2144;Julian;x;1, 3
14668;review application;2021-11-03 05:42:24 +00:00;Trace 2144;Julian;x;1
14669;delete data of applicant;2021-11-03 07:25:16 +00:00;Trace 2144;Julian;x;1, 4
14670;await answer;2021-11-03 08:50:44 +00:00;Trace 2144;Julian;x;1, 5
14671;"applicant rejected/
delete data";2021-11-03 10:48:52 +00:00;Trace 2144;Julian;x;1, 5
14672;"reject application/
ask for permission to save data";2021-11-03 12:29:08 +00:00;Trace 2144;Julian;x;1
14673;await answer;2021-11-03 14:07:24 +00:00;Trace 2144;Julian;x;1, 5
14674;receive permission;2021-11-03 15:58:43 +00:00;Trace 2144;Julian;x;1
14675;delete data;2021-11-03 17:10:12 +00:00;Trace 2144;Julian;x;1
14676;receive application;2021-11-02 23:58:17 +00:00;Trace 2145;Julian;x;1
14677;confirm GDPR;2021-11-03 01:21:20 +00:00;Trace 2145;Julian;x;1
14678;confirmed GDPR;2021-11-03 02:42:06 +00:00;Trace 2145;Julian;x;1
14679;receive application;2021-11-02 23:58:41 +00:00;Trace 2146;Peter;x;1
14680;confirm GDPR;2021-11-03 01:25:14 +00:00;Trace 2146;Peter;x;1
14681;decline GDPR;2021-11-03 03:23:36 +00:00;Trace 2146;Peter;x;1
14682;notify recruiter;2021-11-03 05:18:10 +00:00;Trace 2146;Peter;x;1, 3
14683;review application;2021-11-03 07:09:19 +00:00;Trace 2146;Peter;x;1
14684;schedule interview and send invitation;2021-11-03 08:14:42 +00:00;Trace 2146;Peter;x;1
14685;receive application;2021-11-03 00:17:57 +00:00;Trace 2147;Julian;x;1
14686;confirm GDPR;2021-11-03 01:24:30 +00:00;Trace 2147;Julian;x;1
14687;decline GDPR;2021-11-03 02:52:13 +00:00;Trace 2147;Julian;x;1
14688;notify recruiter;2021-11-03 04:24:01 +00:00;Trace 2147;Julian;x;1, 3
14689;review application;2021-11-03 06:11:48 +00:00;Trace 2147;Julian;x;1
14690;delete data of applicant;2021-11-03 07:39:09 +00:00;Trace 2147;Julian;x;1, 4
14691;await answer;2021-11-03 09:11:58 +00:00;Trace 2147;Julian;x;1, 5
14692;hold interview;2021-11-03 10:12:54 +00:00;Trace 2147;Julian;x;1, 5
14693;receive application;2021-11-03 00:35:46 +00:00;Trace 2148;Peter;x;1
14694;confirm GDPR;2021-11-03 01:37:12 +00:00;Trace 2148;Peter;x;1
14695;confirmed GDPR;2021-11-03 03:34:52 +00:00;Trace 2148;Peter;x;1
14696;receive application;2021-11-02 23:55:27 +00:00;Trace 2149;Hans;x;1
14697;confirm GDPR;2021-11-03 01:20:58 +00:00;Trace 2149;Hans;x;1
14698;decline GDPR;2021-11-03 02:34:31 +00:00;Trace 2149;Hans;x;1
14699;notify recruiter;2021-11-03 03:39:57 +00:00;Trace 2149;Hans;x;1, 3
14700;review application;2021-11-03 05:11:28 +00:00;Trace 2149;Hans;x;1
14701;schedule interview and send invitation;2021-11-03 06:49:42 +00:00;Trace 2149;Hans;x;1
14702;receive application;2021-11-03 00:33:31 +00:00;Trace 2150;Hans;x;1
14703;confirm GDPR;2021-11-03 02:05:00 +00:00;Trace 2150;Hans;x;1
14704;confirmed GDPR;2021-11-03 03:28:33 +00:00;Trace 2150;Hans;x;1
14705;receive application;2021-11-03 00:18:03 +00:00;Trace 2151;Peter;x;1
14706;confirm GDPR;2021-11-03 02:13:26 +00:00;Trace 2151;Peter;x;1
14707;decline GDPR;2021-11-03 03:55:29 +00:00;Trace 2151;Peter;x;1
14708;notify recruiter;2021-11-03 05:42:04 +00:00;Trace 2151;Peter;x;1, 3
14709;review application;2021-11-03 07:24:27 +00:00;Trace 2151;Peter;x;1
14710;schedule interview and send invitation;2021-11-03 08:28:15 +00:00;Trace 2151;Peter;x;1
14711;receive application;2021-11-03 00:22:19 +00:00;Trace 2152;Julian;x;1
14712;confirm GDPR;2021-11-03 02:00:26 +00:00;Trace 2152;Julian;x;1
14713;confirmed GDPR;2021-11-03 03:13:41 +00:00;Trace 2152;Julian;x;1
14714;receive application;2021-11-03 00:33:42 +00:00;Trace 2153;Peter;x;1
14715;confirm GDPR;2021-11-03 02:19:28 +00:00;Trace 2153;Peter;x;1
14716;decline GDPR;2021-11-03 04:14:32 +00:00;Trace 2153;Peter;x;1
14717;notify recruiter;2021-11-03 05:45:17 +00:00;Trace 2153;Peter;x;1, 3
14718;review application;2021-11-03 06:55:39 +00:00;Trace 2153;Peter;x;1
14719;schedule interview and send invitation;2021-11-03 08:47:31 +00:00;Trace 2153;Peter;x;1
14720;receive application;2021-11-02 23:46:50 +00:00;Trace 2154;Hans;x;1
