ID;concept:name;time:timestamp;case:concept:name;pName;error_case;error_reason
9682;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 1118;Julian;;
9683;"applicant rejected/
delete data";1970-01-01 07:00:00+00:00;Trace 1118;Julian;;
9684;receive application;1970-01-01 00:00:00+00:00;Trace 3469;Peter;;
9685;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3469;Peter;;
9686;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 3469;Peter;;
9687;notify recruiter;1970-01-01 03:00:00+00:00;Trace 3469;Peter;;
9688;review application;1970-01-01 04:00:00+00:00;Trace 3469;Peter;;
9689;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 3469;Peter;;
9690;receive application;1970-01-01 00:00:00+00:00;Trace 3839;Peter;;
9691;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3839;Peter;;
9692;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 3839;Peter;;
9693;notify recruiter;1970-01-01 03:00:00+00:00;Trace 3839;Peter;;
9694;review application;1970-01-01 04:00:00+00:00;Trace 3839;Peter;;
9695;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 3839;Peter;;
9696;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 3839;Peter;;
9697;"applicant rejected/
delete data";1970-01-01 07:00:00+00:00;Trace 3839;Peter;;
9698;receive application;1970-01-01 00:00:00+00:00;Trace 2043;Julian;;
9699;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2043;Julian;;
9700;decline GDPR;1970-01-01 02:00:00+00:00;Trace 2043;Julian;;
9701;receive application;1970-01-01 00:00:00+00:00;Trace 954;Hans;;
9702;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 954;Hans;;
9703;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 954;Hans;;
9704;notify recruiter;1970-01-01 03:00:00+00:00;Trace 954;Hans;;
9705;review application;1970-01-01 04:00:00+00:00;Trace 954;Hans;;
9706;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 954;Hans;;
9707;receive application;1970-01-01 00:00:00+00:00;Trace 1275;Hans;;
9708;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1275;Hans;;
9709;decline GDPR;1970-01-01 02:00:00+00:00;Trace 1275;Hans;;
9710;receive application;1970-01-01 00:00:00+00:00;Trace 2265;Julian;;
9711;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2265;Julian;;
9712;decline GDPR;1970-01-01 02:00:00+00:00;Trace 2265;Julian;;
9713;receive application;1970-01-01 00:00:00+00:00;Trace 2450;Julian;;
9714;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2450;Julian;;
9715;decline GDPR;1970-01-01 02:00:00+00:00;Trace 2450;Julian;;
9716;receive application;1970-01-01 00:00:00+00:00;Trace 3093;Peter;x;1
9717;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3093;Peter;x;1
9718;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 3093;Peter;x;1
9719;notify recruiter;1970-01-01 03:00:00+00:00;Trace 3093;Peter;x;1
9720;review application;1970-01-01 04:00:00+00:00;Trace 3093;Peter;x;1
9721;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 3093;Peter;x;1
9722;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 3093;Peter;x;1
9723;3i0f6k5ijqott;1970-01-01 07:00:00+00:00;Trace 3093;Peter;x;1, 5
9724;"reject application/
ask for permission to save data";1970-01-01 08:00:00+00:00;Trace 3093;Peter;x;1
9725;await answer of applicant;1970-01-01 09:00:00+00:00;Trace 3093;Peter;x;1
9726;decline permission;1970-01-01 10:00:00+00:00;Trace 3093;Peter;x;1
9727;delete data;1970-01-01 11:00:00+00:00;Trace 3093;Peter;x;1
9728;receive application;1970-01-01 00:00:00+00:00;Trace 3122;Julian;;
9729;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3122;Julian;;
9730;decline GDPR;1970-01-01 02:00:00+00:00;Trace 3122;Julian;;
9731;receive application;1970-01-01 00:00:00+00:00;Trace 2350;Julian;;
9732;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2350;Julian;;
9733;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 2350;Julian;;
9734;notify recruiter;1970-01-01 03:00:00+00:00;Trace 2350;Julian;;
9735;review application;1970-01-01 04:00:00+00:00;Trace 2350;Julian;;
9736;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 2350;Julian;;
9737;receive application;1970-01-01 00:00:00+00:00;Trace 3798;Peter;;
9738;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3798;Peter;;
9739;decline GDPR;1970-01-01 02:00:00+00:00;Trace 3798;Peter;;
9740;receive application;1970-01-01 00:00:00+00:00;Trace 2345;Hans;;
9741;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2345;Hans;;
9742;decline GDPR;1970-01-01 02:00:00+00:00;Trace 2345;Hans;;
9743;receive application;1970-01-01 00:00:00+00:00;Trace 2375;Peter;;
9744;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2375;Peter;;
9745;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 2375;Peter;;
9746;notify recruiter;1970-01-01 03:00:00+00:00;Trace 2375;Peter;;
9747;review application;1970-01-01 04:00:00+00:00;Trace 2375;Peter;;
9748;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 2375;Peter;;
9749;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1659;Kevin;x;1, 2
9750;decline GDPR;1970-01-01 02:00:00+00:00;Trace 1659;Kevin;x;1, 2
9751;receive application;1970-01-01 00:00:00+00:00;Trace 1382;Julian;;
9752;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1382;Julian;;
9753;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 1382;Julian;;
9754;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1382;Julian;;
9755;review application;1970-01-01 04:00:00+00:00;Trace 1382;Julian;;
9756;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 1382;Julian;;
9757;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 1382;Julian;;
9758;hold intervierw;1970-01-01 07:00:00+00:00;Trace 1382;Julian;;
9759;"reject application/
ask for permission to save data";1970-01-01 08:00:00+00:00;Trace 1382;Julian;;
9760;await answer of applicant;1970-01-01 09:00:00+00:00;Trace 1382;Julian;;
9761;receive permission;1970-01-01 10:00:00+00:00;Trace 1382;Julian;;
9762;save data;1970-01-01 11:00:00+00:00;Trace 1382;Julian;;
9763;receive application;1970-01-01 00:00:00+00:00;Trace 1895;Peter;;
9764;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1895;Peter;;
9765;decline GDPR;1970-01-01 02:00:00+00:00;Trace 1895;Peter;;
9766;receive application;1970-01-01 00:00:00+00:00;Trace 2579;Kevin;x;2
9767;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2579;Kevin;x;2
9768;decline GDPR;1970-01-01 02:00:00+00:00;Trace 2579;Kevin;x;2
9769;receive application;1970-01-01 00:00:00+00:00;Trace 652;Peter;;
9770;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 652;Peter;;
9771;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 652;Peter;;
9772;notify recruiter;1970-01-01 03:00:00+00:00;Trace 652;Peter;;
9773;review application;1970-01-01 04:00:00+00:00;Trace 652;Peter;;
9774;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 652;Peter;;
9775;receive application;1970-01-01 00:00:00+00:00;Trace 2218;Julian;;
9776;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2218;Julian;;
9777;decline GDPR;1970-01-01 02:00:00+00:00;Trace 2218;Julian;;
9778;receive application;1970-01-01 00:00:00+00:00;Trace 1161;Kevin;x;2
9779;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1161;Kevin;x;2
9780;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 1161;Kevin;x;2
9781;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1161;Kevin;x;2
9782;review application;1970-01-01 04:00:00+00:00;Trace 1161;Kevin;x;2
9783;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 1161;Kevin;x;2
9784;receive application;1970-01-01 00:00:00+00:00;Trace 2645;Peter;;
9785;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2645;Peter;;
9786;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 2645;Peter;;
9787;notify recruiter;1970-01-01 03:00:00+00:00;Trace 2645;Peter;;
9788;review application;1970-01-01 04:00:00+00:00;Trace 2645;Peter;;
9789;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 2645;Peter;;
9790;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 2645;Peter;;
9791;hold intervierw;1970-01-01 07:00:00+00:00;Trace 2645;Peter;;
9792;"reject application/
ask for permission to save data";1970-01-01 08:00:00+00:00;Trace 2645;Peter;;
9793;await answer of applicant;1970-01-01 09:00:00+00:00;Trace 2645;Peter;;
9794;decline permission;1970-01-01 10:00:00+00:00;Trace 2645;Peter;;
9795;delete data;1970-01-01 11:00:00+00:00;Trace 2645;Peter;;
9796;receive application;1970-01-01 00:00:00+00:00;Trace 3916;Julian;;
9797;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3916;Julian;;
9798;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 3916;Julian;;
9799;notify recruiter;1970-01-01 03:00:00+00:00;Trace 3916;Julian;;
9800;review application;1970-01-01 04:00:00+00:00;Trace 3916;Julian;;
9801;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 3916;Julian;;
9802;receive application;1970-01-01 00:00:00+00:00;Trace 361;Julian;;
9803;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 361;Julian;;
9804;decline GDPR;1970-01-01 02:00:00+00:00;Trace 361;Julian;;
9805;receive application;1970-01-01 00:00:00+00:00;Trace 1872;Kevin;x;2
9806;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1872;Kevin;x;2
9807;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 1872;Kevin;x;2
9808;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1872;Kevin;x;2
9809;review application;1970-01-01 04:00:00+00:00;Trace 1872;Kevin;x;2
9810;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 1872;Kevin;x;2
9811;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 1872;Kevin;x;2
9812;"applicant rejected/
delete data";1970-01-01 07:00:00+00:00;Trace 1872;Kevin;x;2
9813;receive application;1970-01-01 00:00:00+00:00;Trace 3664;Hans;;
9814;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3664;Hans;;
9815;decline GDPR;1970-01-01 02:00:00+00:00;Trace 3664;Hans;;
9816;receive application;1970-01-01 00:00:00+00:00;Trace 2684;Kevin;x;2
9817;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2684;Kevin;x;2
9818;decline GDPR;1970-01-01 02:00:00+00:00;Trace 2684;Kevin;x;2
9819;receive application;1970-01-01 00:00:00+00:00;Trace 1938;Peter;;
9820;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1938;Peter;;
9821;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 1938;Peter;;
9822;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1938;Peter;;
9823;review application;1970-01-01 04:00:00+00:00;Trace 1938;Peter;;
9824;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 1938;Peter;;
9825;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 1938;Peter;;
9826;"applicant rejected/
delete data";1970-01-01 07:00:00+00:00;Trace 1938;Peter;;
9827;receive application;1970-01-01 00:00:00+00:00;Trace 1;Kevin;x;2
9828;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1;Kevin;x;2
9829;decline GDPR;1970-01-01 02:00:00+00:00;Trace 1;Kevin;x;2
9830;receive application;1970-01-01 00:00:00+00:00;Trace 2105;Kevin;x;1, 2
9831;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2105;Kevin;x;1, 2
9832;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 2105;Kevin;x;1, 2
9833;notify recruiter;1970-01-01 03:00:00+00:00;Trace 2105;Kevin;x;1, 2
9834;1j5n0furgcc2l;1970-01-01 04:00:00+00:00;Trace 2105;Kevin;x;1, 5, 2
9835;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 2105;Kevin;x;1, 2
9836;receive application;1970-01-01 00:00:00+00:00;Trace 2039;Hans;;
9837;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2039;Hans;;
9838;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 2039;Hans;;
9839;notify recruiter;1970-01-01 03:00:00+00:00;Trace 2039;Hans;;
9840;review application;1970-01-01 04:00:00+00:00;Trace 2039;Hans;;
9841;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 2039;Hans;;
9842;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 2039;Hans;;
9843;hold intervierw;1970-01-01 07:00:00+00:00;Trace 2039;Hans;;
9844;"reject application/
ask for permission to save data";1970-01-01 08:00:00+00:00;Trace 2039;Hans;;
9845;await answer of applicant;1970-01-01 09:00:00+00:00;Trace 2039;Hans;;
9846;decline permission;1970-01-01 10:00:00+00:00;Trace 2039;Hans;;
9847;delete data;1970-01-01 11:00:00+00:00;Trace 2039;Hans;;
9848;receive application;1970-01-01 00:00:00+00:00;Trace 1645;Hans;;
9849;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1645;Hans;;
9850;decline GDPR;1970-01-01 02:00:00+00:00;Trace 1645;Hans;;
9851;receive application;1970-01-01 00:00:00+00:00;Trace 3006;Julian;;
9852;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3006;Julian;;
9853;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 3006;Julian;;
9854;notify recruiter;1970-01-01 03:00:00+00:00;Trace 3006;Julian;;
9855;review application;1970-01-01 04:00:00+00:00;Trace 3006;Julian;;
9856;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 3006;Julian;;
9857;receive application;1970-01-01 00:00:00+00:00;Trace 449;Julian;;
9858;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 449;Julian;;
9859;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 449;Julian;;
9860;notify recruiter;1970-01-01 03:00:00+00:00;Trace 449;Julian;;
9861;review application;1970-01-01 04:00:00+00:00;Trace 449;Julian;;
9862;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 449;Julian;;
9863;receive application;1970-01-01 00:00:00+00:00;Trace 3952;Peter;;
9864;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3952;Peter;;
9865;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 3952;Peter;;
9866;notify recruiter;1970-01-01 03:00:00+00:00;Trace 3952;Peter;;
9867;review application;1970-01-01 04:00:00+00:00;Trace 3952;Peter;;
9868;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 3952;Peter;;
9869;receive application;1970-01-01 00:00:00+00:00;Trace 1200;Hans;;
9870;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1200;Hans;;
9871;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 1200;Hans;;
9872;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1200;Hans;;
9873;review application;1970-01-01 04:00:00+00:00;Trace 1200;Hans;;
9874;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 1200;Hans;;
9875;receive application;1970-01-01 00:00:00+00:00;Trace 2187;Peter;;
9876;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2187;Peter;;
9877;decline GDPR;1970-01-01 02:00:00+00:00;Trace 2187;Peter;;
9878;receive application;1970-01-01 00:00:00+00:00;Trace 3987;Julian;;
9879;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3987;Julian;;
9880;decline GDPR;1970-01-01 02:00:00+00:00;Trace 3987;Julian;;
9881;receive application;1970-01-01 00:00:00+00:00;Trace 1384;Kevin;x;1, 2
9882;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1384;Kevin;x;1, 2
9883;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 1384;Kevin;x;1, 2
9884;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1384;Kevin;x;1, 2
9885;review application;1970-01-01 04:00:00+00:00;Trace 1384;Kevin;x;1, 2
9886;receive application;1970-01-01 00:00:00+00:00;Trace 3621;Kevin;x;1, 2
9887;receive application;1970-01-01 00:00:00+00:00;Trace 3621;Kevin;x;1, 2
9888;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3621;Kevin;x;1, 2
9889;decline GDPR;1970-01-01 02:00:00+00:00;Trace 3621;Kevin;x;1, 2
9890;receive application;1970-01-01 00:00:00+00:00;Trace 1169;Kevin;x;2
9891;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1169;Kevin;x;2
9892;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 1169;Kevin;x;2
9893;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1169;Kevin;x;2
9894;review application;1970-01-01 04:00:00+00:00;Trace 1169;Kevin;x;2
9895;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 1169;Kevin;x;2
9896;receive application;1970-01-01 00:00:00+00:00;Trace 3878;Peter;;
9897;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3878;Peter;;
9898;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 3878;Peter;;
9899;notify recruiter;1970-01-01 03:00:00+00:00;Trace 3878;Peter;;
9900;review application;1970-01-01 04:00:00+00:00;Trace 3878;Peter;;
9901;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 3878;Peter;;
9902;receive application;1970-01-01 00:00:00+00:00;Trace 834;Peter;;
9903;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 834;Peter;;
9904;decline GDPR;1970-01-01 02:00:00+00:00;Trace 834;Peter;;
9905;receive application;1970-01-01 00:00:00+00:00;Trace 510;Kevin;x;2
9906;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 510;Kevin;x;2
9907;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 510;Kevin;x;2
9908;notify recruiter;1970-01-01 03:00:00+00:00;Trace 510;Kevin;x;2
9909;review application;1970-01-01 04:00:00+00:00;Trace 510;Kevin;x;2
9910;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 510;Kevin;x;2
9911;receive application;1970-01-01 00:00:00+00:00;Trace 1760;Hans;;
9912;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1760;Hans;;
9913;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 1760;Hans;;
9914;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1760;Hans;;
9915;review application;1970-01-01 04:00:00+00:00;Trace 1760;Hans;;
9916;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 1760;Hans;;
9917;receive application;1970-01-01 00:00:00+00:00;Trace 1187;Hans;;
9918;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1187;Hans;;
9919;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 1187;Hans;;
9920;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1187;Hans;;
9921;review application;1970-01-01 04:00:00+00:00;Trace 1187;Hans;;
9922;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 1187;Hans;;
9923;receive application;1970-01-01 00:00:00+00:00;Trace 1539;Hans;;
9924;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1539;Hans;;
9925;decline GDPR;1970-01-01 02:00:00+00:00;Trace 1539;Hans;;
9926;receive application;1970-01-01 00:00:00+00:00;Trace 2165;Kevin;x;2
9927;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2165;Kevin;x;2
9928;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 2165;Kevin;x;2
9929;notify recruiter;1970-01-01 03:00:00+00:00;Trace 2165;Kevin;x;2
9930;review application;1970-01-01 04:00:00+00:00;Trace 2165;Kevin;x;2
9931;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 2165;Kevin;x;2
9932;receive application;1970-01-01 00:00:00+00:00;Trace 2678;Julian;;
9933;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2678;Julian;;
9934;decline GDPR;1970-01-01 02:00:00+00:00;Trace 2678;Julian;;
9935;receive application;1970-01-01 00:00:00+00:00;Trace 455;Kevin;x;2
9936;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 455;Kevin;x;2
9937;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 455;Kevin;x;2
9938;notify recruiter;1970-01-01 03:00:00+00:00;Trace 455;Kevin;x;2
9939;review application;1970-01-01 04:00:00+00:00;Trace 455;Kevin;x;2
9940;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 455;Kevin;x;2
9941;receive application;1970-01-01 00:00:00+00:00;Trace 3662;Peter;;
9942;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3662;Peter;;
9943;decline GDPR;1970-01-01 02:00:00+00:00;Trace 3662;Peter;;
9944;receive application;1970-01-01 00:00:00+00:00;Trace 3211;Julian;;
9945;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3211;Julian;;
9946;decline GDPR;1970-01-01 02:00:00+00:00;Trace 3211;Julian;;
9947;receive application;1970-01-01 00:00:00+00:00;Trace 435;Kevin;x;2
9948;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 435;Kevin;x;2
9949;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 435;Kevin;x;2
9950;notify recruiter;1970-01-01 03:00:00+00:00;Trace 435;Kevin;x;2
9951;review application;1970-01-01 04:00:00+00:00;Trace 435;Kevin;x;2
9952;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 435;Kevin;x;2
9953;receive application;1970-01-01 00:00:00+00:00;Trace 2439;Peter;;
9954;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2439;Peter;;
9955;decline GDPR;1970-01-01 02:00:00+00:00;Trace 2439;Peter;;
9956;receive application;1970-01-01 00:00:00+00:00;Trace 2683;Kevin;x;2
9957;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2683;Kevin;x;2
9958;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 2683;Kevin;x;2
9959;notify recruiter;1970-01-01 03:00:00+00:00;Trace 2683;Kevin;x;2
9960;review application;1970-01-01 04:00:00+00:00;Trace 2683;Kevin;x;2
9961;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 2683;Kevin;x;2
9962;receive application;1970-01-01 00:00:00+00:00;Trace 1538;Hans;;
9963;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1538;Hans;;
9964;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 1538;Hans;;
9965;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1538;Hans;;
9966;review application;1970-01-01 04:00:00+00:00;Trace 1538;Hans;;
9967;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 1538;Hans;;
9968;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 1538;Hans;;
9969;hold intervierw;1970-01-01 07:00:00+00:00;Trace 1538;Hans;;
9970;send to assessment center;1970-01-01 08:00:00+00:00;Trace 1538;Hans;;
9971;decline applicant in assesment center;1970-01-01 09:00:00+00:00;Trace 1538;Hans;;
9972;receive application;1970-01-01 00:00:00+00:00;Trace 2878;Hans;;
9973;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2878;Hans;;
9974;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 2878;Hans;;
9975;notify recruiter;1970-01-01 03:00:00+00:00;Trace 2878;Hans;;
9976;review application;1970-01-01 04:00:00+00:00;Trace 2878;Hans;;
9977;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 2878;Hans;;
9978;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 2878;Hans;;
9979;"applicant rejected/
delete data";1970-01-01 07:00:00+00:00;Trace 2878;Hans;;
9980;receive application;1970-01-01 00:00:00+00:00;Trace 3000;Julian;;
9981;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3000;Julian;;
9982;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 3000;Julian;;
9983;notify recruiter;1970-01-01 03:00:00+00:00;Trace 3000;Julian;;
9984;review application;1970-01-01 04:00:00+00:00;Trace 3000;Julian;;
9985;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 3000;Julian;;
9986;receive application;1970-01-01 00:00:00+00:00;Trace 919;Peter;;
9987;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 919;Peter;;
9988;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 919;Peter;;
9989;notify recruiter;1970-01-01 03:00:00+00:00;Trace 919;Peter;;
9990;review application;1970-01-01 04:00:00+00:00;Trace 919;Peter;;
9991;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 919;Peter;;
9992;receive application;1970-01-01 00:00:00+00:00;Trace 1155;Peter;;
9993;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1155;Peter;;
9994;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 1155;Peter;;
9995;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1155;Peter;;
9996;review application;1970-01-01 04:00:00+00:00;Trace 1155;Peter;;
9997;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 1155;Peter;;
9998;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 1155;Peter;;
9999;"applicant rejected/
delete data";1970-01-01 07:00:00+00:00;Trace 1155;Peter;;
10000;receive application;1970-01-01 00:00:00+00:00;Trace 1923;Kevin;x;1, 2
10001;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1923;Kevin;x;1, 2
10002;q3n8930voka4u;1970-01-01 02:00:00+00:00;Trace 1923;Kevin;x;1, 5, 2
10003;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1923;Kevin;x;1, 2
10004;review application;1970-01-01 04:00:00+00:00;Trace 1923;Kevin;x;1, 2
10005;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 1923;Kevin;x;1, 2
10006;receive application;1970-01-01 00:00:00+00:00;Trace 265;Julian;;
10007;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 265;Julian;;
10008;decline GDPR;1970-01-01 02:00:00+00:00;Trace 265;Julian;;
10009;receive application;1970-01-01 00:00:00+00:00;Trace 1738;Peter;;
10010;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1738;Peter;;
10011;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 1738;Peter;;
10012;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1738;Peter;;
10013;review application;1970-01-01 04:00:00+00:00;Trace 1738;Peter;;
10014;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 1738;Peter;;
10015;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 1738;Peter;;
10016;"applicant rejected/
delete data";1970-01-01 07:00:00+00:00;Trace 1738;Peter;;
10017;receive application;1970-01-01 00:00:00+00:00;Trace 3332;Kevin;x;2
10018;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3332;Kevin;x;2
10019;decline GDPR;1970-01-01 02:00:00+00:00;Trace 3332;Kevin;x;2
10020;6kun2jni787tl;1970-01-01 00:00:00+00:00;Trace 3627;Kevin;x;1, 5, 2
10021;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3627;Kevin;x;1, 2
10022;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 3627;Kevin;x;1, 2
